Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
	Dropping her new song Monday if the UK gets 100,000 new daily infections.	WrittenByDavid	Sun Dec 06 12:48:25 +0000 2020	[]	0	0	https://twitter.com/WrittenByDavid/status/1335566765628289024
	What are the daily COVID-19 cases in your town? In Paterson, we are over 300 new cases daily.	zellieimani	Sun Dec 06 15:00:29 +0000 2020	[]	0	0	https://twitter.com/zellieimani/status/1335600002161373184
	Oi Daily mail............ https://t.co/BEmiShCVSo	stewtgriffiths	Sun Dec 06 14:37:58 +0000 2020	[]	0	0	https://twitter.com/stewtgriffiths/status/1335594334234742785
	Take Vitamin D daily	_PatriotV	Sun Dec 06 14:20:34 +0000 2020	[]	0	0	https://twitter.com/_PatriotV/status/1335589958338441220
	"@MollyJongFast https://t.co/BL2EsA0WGz

A daily tracker."	jim_pennington	Sun Dec 06 13:39:22 +0000 2020	[]	0	0	https://twitter.com/jim_pennington/status/1335579587737235462
	OUR DAILY GROUNDHOG LECTURE!!	LitvakSteve	Sun Dec 06 13:14:25 +0000 2020	[]	0	0	https://twitter.com/LitvakSteve/status/1335573309803569152
	COVID DAILY UPDATE https://t.co/VJPCQNQe8U	RubyAnn36923787	Sun Dec 06 12:52:48 +0000 2020	[]	0	0	https://twitter.com/RubyAnn36923787/status/1335567869640314881
	#BANGTAN quarantine daily https://t.co/vwheom5yOf	87FLDER	Sun Dec 06 12:27:57 +0000 2020	['BANGTAN']	0	0	https://twitter.com/87FLDER/status/1335561616495157248
	Coronavirus: UK recording more daily cases per capita than the US | Daily Mail Online https://t.co/mYtrSwV2SG	MoleyJan	Sun Dec 06 15:10:59 +0000 2020	[]	0	0	https://twitter.com/MoleyJan/status/1335602646368055298
	@Transition46 Get through your daily battle with this Pandemic ♥️♥️♥️♥️😷😷😢🙏🙏🙏	skb621	Sun Dec 06 12:05:36 +0000 2020	[]	0	0	https://twitter.com/skb621/status/1335555992499740674
	Saudi Arabia Reports Less than 200 Daily Covid Infections for First Time in 8 Months https://t.co/nuwRxgC4QW	newsperplexed	Sun Dec 06 15:27:26 +0000 2020	[]	0	0	https://twitter.com/newsperplexed/status/1335606785693147137
	Covid-19 infects Daily Monitor photojournalist who has been covering FDC’s Amuriat as cases rise to 22,188 https://t.co/6aeOodF3VY	mubuuke	Sun Dec 06 15:26:02 +0000 2020	[]	0	0	https://twitter.com/mubuuke/status/1335606432738250752
	A pandemic in history: America was infected with Polio in 1916 infecting 27,000, killing 6000, and permanently disabling many who were infected.	HistoryPandemic	Sun Dec 06 14:26:37 +0000 2020	[]	0	0	https://twitter.com/HistoryPandemic/status/1335591480891727872
	The fact we had a complete shutdown back in April because of #COVID at daily infections around 400, and now are at more than 1900 a day w/ no real lockdown are very troubling in #COVIDOntario. New daily record today... 😥 #ONPoli #TOPoli #CdnPoli #COVIDAlert #Ontario #Coronavirus	airtotherun	Sun Dec 06 15:15:56 +0000 2020	['COVID']	0	0	https://twitter.com/airtotherun/status/1335603890448953344
	Covid-19 infects Daily Monitor photojournalist who has been covering FDC’s Amuriat as cases rise to 22,188 https://t.co/mmdP0cCDK1 #StreetUpdates	StreetJournalUg	Sun Dec 06 13:57:47 +0000 2020	[]	0	0	https://twitter.com/StreetJournalUg/status/1335584225517580288
	Animals rule the streets during weekend COVID-19 lockdown in Turkey | Daily Sabah - Daily Sabah https://t.co/tliTmSdRyz	AnimalsWorld2	Sun Dec 06 13:21:32 +0000 2020	[]	0	0	https://twitter.com/AnimalsWorld2/status/1335575099114618880
	
When will the vaccine be ready
	I’ll be ready when it is	suesalz1	Sun Dec 06 15:33:33 +0000 2020	[]	0	0	https://twitter.com/suesalz1/status/1335608324570685441
	We are ready for you 💃🏾💃🏾💃🏾💃🏾💃🏾💃🏾💃🏾	Qwiyn_G	Sun Dec 06 13:12:57 +0000 2020	[]	0	0	https://twitter.com/Qwiyn_G/status/1335572940251942913
	Who is ready 4 the VACCINE? https://t.co/zags3bJq32	Laurhenda2	Sun Dec 06 15:30:23 +0000 2020	[]	0	0	https://twitter.com/Laurhenda2/status/1335607526860218368
	The vaccine is ready, are you? https://t.co/hL2Dq1xm44	racheeley	Sun Dec 06 14:14:31 +0000 2020	[]	0	0	https://twitter.com/racheeley/status/1335588435512471553
	I'm not ready for a #vaccine 😭	Makoto_1960	Sun Dec 06 12:51:58 +0000 2020	['vaccine']	0	0	https://twitter.com/Makoto_1960/status/1335567660596277249
	I'm so ready for this pls	villaruelmchll	Sun Dec 06 15:13:07 +0000 2020	[]	0	0	https://twitter.com/villaruelmchll/status/1335603180017598464
	Are you Ready Capten...	kakapampam	Sun Dec 06 14:42:41 +0000 2020	[]	0	0	https://twitter.com/kakapampam/status/1335595523785465856
	Getting ready..	QueenofCr8tvty	Sun Dec 06 12:11:36 +0000 2020	[]	0	0	https://twitter.com/QueenofCr8tvty/status/1335557501899706369
	i am ready to not be in quarantine anymore	lego33099460	Sun Dec 06 15:13:04 +0000 2020	[]	0	0	https://twitter.com/lego33099460/status/1335603168386965510
	Yeah I’m ready to move	HaydonPilat	Sun Dec 06 13:42:50 +0000 2020	[]	0	0	https://twitter.com/HaydonPilat/status/1335580460676734976
	Karmys be ready to cheer	I_M_Anpanman	Sun Dec 06 13:05:41 +0000 2020	[]	0	0	https://twitter.com/I_M_Anpanman/status/1335571112982323202
	Covig 19 follow to 2021, Vaccine is ready	Bongcrist88	Sun Dec 06 15:25:14 +0000 2020	[]	0	0	https://twitter.com/Bongcrist88/status/1335606230920749056
	"Okay, we are ready!

Who is first up for the vaccine?"	JoeBidenTweeted	Sun Dec 06 12:10:00 +0000 2020	[]	0	0	https://twitter.com/JoeBidenTweeted/status/1335557097774309376
	Masked and ready to combat Covid-19 https://t.co/AK1sNGPDbw	DcCosmos	Sun Dec 06 15:26:01 +0000 2020	[]	0	0	https://twitter.com/DcCosmos/status/1335606429013606400
	I hope #ckerberg  is ready for prison.	BennDoverr4me	Sun Dec 06 15:24:04 +0000 2020	['ckerberg']	0	0	https://twitter.com/BennDoverr4me/status/1335605938137440257
	I am literally ready to leave America	_thatsmena	Sun Dec 06 15:24:03 +0000 2020	[]	0	0	https://twitter.com/_thatsmena/status/1335605933196652544
	.... I’m ready to relocate to a different country now.	dejaalashaee	Sun Dec 06 14:57:45 +0000 2020	[]	0	0	https://twitter.com/dejaalashaee/status/1335599315578851331
	Y’all not ready for post-covid Pogba	quinn_utd	Sun Dec 06 14:37:59 +0000 2020	[]	0	0	https://twitter.com/quinn_utd/status/1335594339586748417
	Ok india get ready	navin301	Sun Dec 06 14:25:27 +0000 2020	[]	0	0	https://twitter.com/navin301/status/1335591184144629771
	Get ready. @FatEmperor @ProfTimNoakes	ii1111	Sun Dec 06 13:23:09 +0000 2020	[]	0	0	https://twitter.com/ii1111/status/1335575506079637505
	
Covid19 isn’t bad
	WE BAD!	10Szn18	Sun Dec 06 15:30:39 +0000 2020	[]	0	0	https://twitter.com/10Szn18/status/1335607594006798338
	This is bad	charles_cwood	Sun Dec 06 15:14:03 +0000 2020	[]	0	0	https://twitter.com/charles_cwood/status/1335603418065477632
